time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2020-07-17 02:51:50.046 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586488320,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,599,599,416,599, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,116863208,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:52:50.396 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586639872,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,381,381,152,381, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,116863208,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:53:50.403 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239585996800,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,28,28,15,28, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,116919752,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:54:50.408 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586062336,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,46,46,18,46, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,117281768,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:55:50.409 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239585988608,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,624,624,404,624, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,119492880,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:56:50.414 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586512896,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,703,703,242,703, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,121025608,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:57:50.421 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586447360,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,14,14,9,14, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,121498664,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:58:50.427 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586443264,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,575,575,244,575, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,121601368,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 02:59:50.433 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586508800,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,21,21,13,21, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,121601368,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:00:50.439 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586435072,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,1000,1000,370,1050, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,121717448,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:01:50.443 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239586426880,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,35,35,25,35, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,122386456,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:02:50.449 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452274688,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,696,696,245,696, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,123768128,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:03:50.455 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452110848,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,830,830,287,830, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,124241184,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:04:50.459 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452176384,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,100,100,44,100, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,124241184,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:05:50.461 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239451996160,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,42,42,21,42, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,124267712,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:06:50.467 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239451992064,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,41,41,18,41, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,124432544,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:07:50.473 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239451987968,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,614,614,413,614, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,124474560,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:08:50.481 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239451983872,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,24,24,8,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,125213168,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:09:50.512 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452090368,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,582,582,201,582, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,126538296,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:10:50.549 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452024832,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,875,875,303,875, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,127011352,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:11:50.553 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452090368,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,52,52,31,52, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,127091352,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:12:50.558 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452217344,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,187,187,79,187, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,127147896,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:13:50.583 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452209152,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,117,117,70,117, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,127147896,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:14:50.591 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452139520,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,21,21,10,21, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,127147896,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:15:50.597 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452139520,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,71,71,45,71, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,129678824,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:16:50.602 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452139520,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,586,586,215,586, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,130194648,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-17 03:17:50.608 UTC, , , , , , , , , ,589,3190565,43576,672, ,7, , , , , , , , , , , ,7,7, , , ,3,3,9, , , , , , , , , , , , , , , , ,117297,43,115974,115974, , , , ,117755,239452307456,14,14,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117755,1594713425395,,, , , , , , , , , ,3145728,117725,126,126,82,126, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,130429080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
